schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence,lane_coverage_fraction
mod30,deterministic_mod30,-1,0.05,15,0.013404825737265416,0.0036209199997756514,0.9333333333333333,0.9375,0.39499553172475427,1.2622643831084217,1.2477676167627783,1.0
mod30,deterministic_mod30,-1,0.1,30,0.02680965147453083,0.0038480840003103367,0.9333333333333333,0.9444444444444444,0.1949955317247542,1.2071942152333426,1.2043928167409397,1.0
mod30,deterministic_mod30,-1,0.15,45,0.040214477211796246,0.0024596300004304794,0.9111111111111111,0.9158549783549783,0.17706285373845698,1.2691307337051199,1.1800644040725692,1.0
mod30,deterministic_mod30,-1,0.2,60,0.05361930294906166,0.002279582000028313,0.9333333333333333,0.9395833333333333,0.2545129579982127,1.3730705595280122,1.2568556039032703,1.0
mod30,deterministic_mod30,-1,0.25,75,0.06702412868632708,0.005505015999915486,0.92,0.9197670521199933,0.2545129579982127,1.3886041892483425,1.2287212294093104,1.0
mod30,deterministic_mod30,-1,0.3,90,0.08042895442359249,0.0031077250000635104,0.9,0.9045283663704716,0.2545129579982127,1.306455926286699,1.1147288898983798,1.0
mod30,deterministic_mod30,-1,0.35,105,0.0938337801608579,0.002914562999649206,0.9047619047619048,0.9115649701176017,0.1947657347121154,1.338146693504461,1.1231080811215108,1.0
mod30,deterministic_mod30,-1,0.39999999999999997,120,0.10723860589812333,0.002933518999725493,0.9083333333333333,0.9121041921041921,0.17117962466487935,1.3969021879904486,1.2088688806130432,1.0
mod30,deterministic_mod30,-1,0.44999999999999996,135,0.12064343163538874,0.003102321999904234,0.9111111111111111,0.9138332715362748,0.150809254294509,1.4019208246268533,1.2287212294093104,1.0
mod30,deterministic_mod30,-1,0.49999999999999994,149,0.13315460232350312,0.00464452699998219,0.912751677852349,0.9163950829045169,0.18236560687574593,1.4009487345657117,1.2287212294093104,1.0
mod30,deterministic_mod30,-1,0.5499999999999999,164,0.14655942806076855,0.003583492999950977,0.9207317073170732,0.9242805781056056,0.16607816212210377,1.407210856069488,1.2382444230860443,1.0
mod30,deterministic_mod30,-1,0.6,179,0.15996425379803395,0.0034282149999853573,0.9217877094972067,0.923591999398451,0.16369364107018938,1.403850850722333,1.2287212294093104,1.0
mod30,deterministic_mod30,-1,0.65,194,0.17336907953529937,0.0035799830002360977,0.9226804123711341,0.9242930004186807,0.14105930368609673,1.392985235667572,1.2192604129010087,1.0
mod30,deterministic_mod30,-1,0.7,209,0.1867739052725648,0.003212563000033697,0.9186602870813397,0.9185518673872711,0.14542204890730362,1.4042848716483056,1.2477676167627783,1.0
mod30,deterministic_mod30,-1,0.75,224,0.20017873100983022,0.0024400469997090113,0.9196428571428571,0.9189151978739771,0.1495276394740202,1.3912404335605582,1.2568556039032703,1.0
mod30,deterministic_mod30,-1,0.7999999999999999,239,0.21358355674709562,0.0024280370002998097,0.9163179916317992,0.916239134542706,0.14041227784819826,1.4234352738852307,1.2659435910437624,1.0
mod30,deterministic_mod30,-1,0.85,254,0.22698838248436104,0.003101513999808958,0.9094488188976378,0.9086285840596185,0.1323735337372373,1.395881210257398,1.2262191342856485,1.0
mod30,deterministic_mod30,-1,0.9,269,0.24039320822162646,0.0027140970000800735,0.9070631970260223,0.9049245403138224,0.11036141536355812,1.4038423359702124,1.2477676167627783,1.0
mod30,deterministic_mod30,-1,0.95,284,0.2537980339588919,0.002461010999923019,0.9084507042253521,0.9071297647102832,0.10475902780400007,1.3916902017255046,1.2284868443670198,1.0
mod30,deterministic_mod30,-1,1.0,298,0.26630920464700625,0.002153854000425781,0.9060402684563759,0.9031874039938557,0.09511728472809494,1.3942796218388789,1.2382444230860443,1.0
